=== MALATAVADI REJECTED CORRECTIONS DETAIL ===
Plot       | Confidence | Ev Imp     | Shift (m)  | Safeguard                 | Detailed Reason
1523       | 0.8240     | 0.0321     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1524       | 0.6491     | 0.0039     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1525       | 0.2159     | 0.0295     | 10.20      | baseline                  | Baseline flagging (area ratio)
1526       | 0.2135     | 0.0450     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1527       | 0.1439     | 0.0240     | 10.44      | baseline                  | Baseline flagging (area ratio)
1528       | 0.1756     | 0.0514     | 10.44      | baseline                  | Baseline flagging (area ratio)
1529       | 0.1649     | 0.0000     | 9.22       | baseline                  | Baseline flagging (area ratio)
153        | 0.5286     | 0.0149     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0149 < 0.035)
1530       | 0.6230     | 0.0000     | 9.22       | baseline                  | Baseline flagging (overlap violation)
1531       | 0.7991     | 0.0091     | 9.06       | baseline                  | Baseline flagging (overlap violation)
1532       | 0.4572     | 0.0800     | 9.22       | baseline                  | Baseline flagging (low legacy conf)
1533       | 0.1995     | 0.0885     | 9.22       | baseline                  | Baseline flagging (area ratio)
1534       | 0.1278     | 0.0527     | 9.06       | baseline                  | Baseline flagging (area ratio)
1535       | 0.8234     | 0.0554     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1536       | 0.5369     | 0.0641     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
1537       | 0.8292     | 0.0252     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0252 < 0.035)
1538       | 0.5360     | 0.0947     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1539       | 0.4623     | 0.0791     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
154        | 0.7314     | 0.0208     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0208 < 0.035)
1540       | 0.3651     | 0.1265     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1544       | 0.8079     | 0.0586     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1546       | 0.1581     | 0.0469     | 10.20      | baseline                  | Baseline flagging (area ratio)
1547       | 0.8009     | 0.0177     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0177 < 0.035)
1548       | 0.6157     | 0.0048     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0048 < 0.035)
1549       | 0.8180     | 0.0304     | 10.20      | baseline                  | Baseline flagging (overlap violation)
155        | 0.6926     | 0.0104     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0104 < 0.035)
1550       | 0.1986     | 0.0881     | 10.20      | baseline                  | Baseline flagging (area ratio)
1551       | 0.1967     | 0.0461     | 10.20      | baseline                  | Baseline flagging (area ratio)
1552       | 0.3170     | 0.0260     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1553       | 0.1553     | 0.0384     | 10.20      | baseline                  | Baseline flagging (area ratio)
1554       | 0.1940     | 0.0880     | 10.20      | baseline                  | Baseline flagging (area ratio)
1555       | 0.1933     | 0.0612     | 10.20      | baseline                  | Baseline flagging (area ratio)
1556       | 0.1376     | 0.0215     | 10.05      | baseline                  | Baseline flagging (area ratio)
1557       | 0.4788     | 0.0437     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1558       | 0.4495     | 0.0464     | 10.05      | confidence_threshold      | Low confidence (0.4495 < 0.50)
1559       | 0.6438     | 0.0652     | 10.05      | baseline                  | Baseline flagging (overlap violation)
156        | 0.7770     | 0.0141     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0141 < 0.035)
1560       | 0.2435     | 0.0930     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
1561       | 0.6593     | 0.0095     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1562       | 0.3715     | 0.0575     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
1563       | 0.1638     | 0.0540     | 10.05      | baseline                  | Baseline flagging (area ratio)
1564       | 0.5011     | 0.0460     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1565       | 0.2079     | 0.0710     | 10.05      | baseline                  | Baseline flagging (area ratio)
1566       | 0.7826     | 0.1016     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1567       | 0.8246     | 0.0890     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1568       | 0.8029     | 0.0523     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1569       | 0.1894     | 0.0372     | 10.20      | baseline                  | Baseline flagging (area ratio)
157        | 0.5744     | 0.0083     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1570       | 0.1676     | 0.0000     | 10.20      | baseline                  | Baseline flagging (area ratio)
1571       | 0.1572     | 0.0204     | 10.20      | baseline                  | Baseline flagging (area ratio)
1574       | 0.7879     | 0.0511     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1576       | 0.3443     | 0.0156     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1577       | 0.1872     | 0.0632     | 10.05      | baseline                  | Baseline flagging (area ratio)
1577/A     | 0.1498     | 0.0054     | 10.20      | baseline                  | Baseline flagging (area ratio)
1577/B     | 0.3393     | 0.0154     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
158        | 0.8073     | 0.0266     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0266 < 0.035)
1580       | 0.3007     | 0.0774     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1581       | 0.1975     | 0.0257     | 10.20      | baseline                  | Baseline flagging (area ratio)
1582       | 0.8429     | 0.0396     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1583       | 0.5969     | 0.0606     | 9.22       | baseline                  | Baseline flagging (overlap violation)
1584       | 0.6160     | 0.0486     | 9.22       | baseline                  | Baseline flagging (overlap violation)
1585       | 0.4165     | 0.0000     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1586       | 0.2070     | 0.0680     | 10.20      | baseline                  | Baseline flagging (area ratio)
1587       | 0.2900     | 0.0272     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1588/A     | 0.1833     | 0.0293     | 11.18      | baseline                  | Baseline flagging (area ratio)
1588/B     | 0.1728     | 0.0809     | 11.18      | baseline                  | Baseline flagging (area ratio)
1589       | 0.4193     | 0.0751     | 10.20      | baseline                  | Baseline flagging (overlap violation)
159        | 0.7363     | 0.0074     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0074 < 0.035)
1590       | 0.8268     | 0.0825     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1591       | 0.2079     | 0.0250     | 10.20      | baseline                  | Baseline flagging (area ratio)
1592       | 0.2095     | 0.0392     | 10.20      | baseline                  | Baseline flagging (area ratio)
1593       | 0.4408     | 0.0121     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1594/A     | 0.8259     | 0.0235     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0235 < 0.035)
1595       | 0.7552     | 0.0167     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1596       | 0.2028     | 0.0157     | 10.20      | baseline                  | Baseline flagging (area ratio)
1597       | 0.2067     | 0.0292     | 10.20      | baseline                  | Baseline flagging (area ratio)
1598       | 0.1795     | 0.0313     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1599       | 0.8360     | 0.0192     | 10.20      | baseline                  | Baseline flagging (overlap violation)
16         | 0.2277     | 0.0103     | 10.20      | baseline                  | Baseline flagging (area ratio)
1600       | 0.1910     | 0.0337     | 10.20      | baseline                  | Baseline flagging (area ratio)
1601/A     | 0.8453     | 0.0148     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0148 < 0.035)
1601/B     | 0.1972     | 0.0136     | 10.20      | baseline                  | Baseline flagging (area ratio)
1602       | 0.2217     | 0.1131     | 10.20      | baseline                  | Baseline flagging (area ratio)
1604       | 0.1970     | 0.0594     | 10.20      | baseline                  | Baseline flagging (area ratio)
1605       | 0.2061     | 0.0108     | 10.20      | baseline                  | Baseline flagging (area ratio)
1606       | 0.6122     | 0.0209     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1607/A     | 0.1257     | 0.0296     | 10.20      | baseline                  | Baseline flagging (area ratio)
1607/B     | 0.1349     | 0.0026     | 10.20      | baseline                  | Baseline flagging (area ratio)
1609       | 0.8265     | 0.0202     | 10.20      | baseline                  | Baseline flagging (overlap violation)
161        | 0.1556     | 0.0126     | 10.20      | baseline                  | Baseline flagging (area ratio)
1610       | 0.1682     | 0.0198     | 10.20      | baseline                  | Baseline flagging (area ratio)
1611       | 0.6517     | 0.0220     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1612       | 0.5578     | 0.0028     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0028 < 0.035)
1613       | 0.1790     | 0.0504     | 10.20      | baseline                  | Baseline flagging (area ratio)
1614       | 0.1751     | 0.0518     | 10.20      | baseline                  | Baseline flagging (area ratio)
1615       | 0.1452     | 0.0099     | 10.20      | baseline                  | Baseline flagging (area ratio)
1616       | 0.1476     | 0.0169     | 10.20      | baseline                  | Baseline flagging (area ratio)
1617       | 0.1706     | 0.0209     | 10.20      | baseline                  | Baseline flagging (area ratio)
1618       | 0.1693     | 0.0096     | 10.20      | baseline                  | Baseline flagging (area ratio)
1619       | 0.1533     | 0.0011     | 10.20      | baseline                  | Baseline flagging (area ratio)
162        | 0.4134     | 0.0372     | 10.20      | confidence_threshold      | Low confidence (0.4134 < 0.50)
1620       | 0.1223     | 0.0467     | 9.22       | baseline                  | Baseline flagging (area ratio)
1621       | 0.1984     | 0.1132     | 10.20      | baseline                  | Baseline flagging (area ratio)
1622       | 0.3147     | 0.1015     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1623       | 0.2036     | 0.0330     | 10.20      | baseline                  | Baseline flagging (area ratio)
1624       | 0.1597     | 0.0077     | 10.20      | baseline                  | Baseline flagging (area ratio)
1625       | 0.1972     | 0.0269     | 10.20      | baseline                  | Baseline flagging (area ratio)
1626       | 0.2000     | 0.0127     | 10.20      | baseline                  | Baseline flagging (area ratio)
1627       | 0.1781     | 0.0112     | 10.20      | baseline                  | Baseline flagging (area ratio)
1628       | 0.1608     | 0.0178     | 10.20      | baseline                  | Baseline flagging (area ratio)
1629       | 0.1776     | 0.0252     | 10.20      | baseline                  | Baseline flagging (area ratio)
163        | 0.7039     | 0.0142     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0142 < 0.035)
1630       | 0.1733     | 0.0086     | 10.20      | baseline                  | Baseline flagging (area ratio)
1631       | 0.1637     | 0.0065     | 10.20      | baseline                  | Baseline flagging (area ratio)
1632       | 0.2052     | 0.0419     | 10.20      | baseline                  | Baseline flagging (area ratio)
1633       | 0.5434     | 0.0537     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1635       | 0.1993     | 0.0394     | 10.20      | baseline                  | Baseline flagging (area ratio)
1636       | 0.4774     | 0.0183     | 10.20      | confidence_threshold      | Low confidence (0.4774 < 0.50)
1637/A     | 0.2196     | 0.0098     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1637/B     | 0.2037     | 0.0227     | 10.20      | baseline                  | Baseline flagging (area ratio)
1639       | 0.5794     | 0.0319     | 10.20      | baseline                  | Baseline flagging (overlap violation)
164        | 0.8020     | 0.0192     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1640       | 0.0962     | 0.0245     | 9.22       | baseline                  | Baseline flagging (area ratio)
1642       | 0.3965     | 0.0613     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1643       | 0.1593     | 0.0542     | 10.20      | baseline                  | Baseline flagging (area ratio)
1644       | 0.3764     | 0.0291     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1645       | 0.7548     | 0.0403     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1646       | 0.7050     | 0.0160     | 9.22       | baseline                  | Baseline flagging (overlap violation)
1647       | 0.6385     | 0.0053     | 9.22       | baseline                  | Baseline flagging (overlap violation)
1648       | 0.6813     | 0.0000     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0000 < 0.035)
1649       | 0.1873     | 0.0283     | 10.20      | baseline                  | Baseline flagging (area ratio)
165        | 0.4016     | 0.0011     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1650       | 0.6893     | 0.0162     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0162 < 0.035)
1651       | 0.6503     | 0.0009     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0009 < 0.035)
1652       | 0.8392     | 0.0249     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0249 < 0.035)
1653       | 0.4427     | 0.0360     | 10.20      | confidence_threshold      | Low confidence (0.4427 < 0.50)
1654       | 0.5762     | 0.0065     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0065 < 0.035)
1655       | 0.3932     | 0.0047     | 10.20      | confidence_threshold      | Low confidence (0.3932 < 0.50)
1656       | 0.7019     | 0.0108     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0108 < 0.035)
1657       | 0.1646     | 0.0066     | 10.05      | baseline                  | Baseline flagging (area ratio)
1658       | 0.6156     | 0.0183     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1659       | 0.3359     | 0.0579     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
166        | 0.6129     | 0.0121     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0121 < 0.035)
1660       | 0.1606     | 0.0855     | 10.00      | baseline                  | Baseline flagging (area ratio)
1661       | 0.3769     | 0.1070     | 10.00      | baseline                  | Baseline flagging (overlap violation)
1662       | 0.2096     | 0.0614     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
1664/A     | 0.1819     | 0.0467     | 10.05      | baseline                  | Baseline flagging (area ratio)
1664/B     | 0.1862     | 0.1403     | 10.05      | baseline                  | Baseline flagging (low legacy conf)
1665       | 0.1187     | 0.1022     | 10.05      | baseline                  | Baseline flagging (area ratio)
1666       | 0.1232     | 0.0414     | 10.05      | baseline                  | Baseline flagging (area ratio)
1667       | 0.7497     | 0.0203     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0203 < 0.035)
1668       | 0.5607     | 0.0076     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1669       | 0.6636     | 0.0364     | 10.20      | baseline                  | Baseline flagging (overlap violation)
167        | 0.5202     | 0.0291     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0291 < 0.035)
1670/A     | 0.1621     | 0.0274     | 10.20      | baseline                  | Baseline flagging (area ratio)
1670/B     | 0.1701     | 0.0254     | 10.20      | baseline                  | Baseline flagging (area ratio)
1671       | 0.4390     | 0.0269     | 10.20      | confidence_threshold      | Low confidence (0.4390 < 0.50)
1672       | 0.1514     | 0.0333     | 10.20      | baseline                  | Baseline flagging (area ratio)
1673       | 0.3380     | 0.0351     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1674       | 0.4495     | 0.0303     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1675       | 0.7353     | 0.0292     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1676       | 0.1364     | 0.0496     | 10.20      | baseline                  | Baseline flagging (area ratio)
1677       | 0.1559     | 0.0019     | 10.20      | baseline                  | Baseline flagging (area ratio)
1678       | 0.4950     | 0.0221     | 10.20      | confidence_threshold      | Low confidence (0.4950 < 0.50)
1679       | 0.1595     | 0.0450     | 9.49       | baseline                  | Baseline flagging (area ratio)
168        | 0.2208     | 0.0081     | 10.20      | baseline                  | Baseline flagging (area ratio)
1680       | 0.5318     | 0.0250     | 10.44      | baseline                  | Baseline flagging (overlap violation)
1681       | 0.1507     | 0.0405     | 10.44      | baseline                  | Baseline flagging (area ratio)
1682       | 0.1558     | 0.1096     | 10.44      | baseline                  | Baseline flagging (area ratio)
1683       | 0.8012     | 0.0920     | 10.44      | baseline                  | Baseline flagging (overlap violation)
1684       | 0.1902     | 0.0192     | 10.44      | baseline                  | Baseline flagging (area ratio)
1685       | 0.3150     | 0.0187     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1686       | 0.2158     | 0.0182     | 10.20      | baseline                  | Baseline flagging (area ratio)
1687       | 0.1908     | 0.0599     | 10.20      | baseline                  | Baseline flagging (area ratio)
1689       | 0.2297     | 0.0416     | 10.20      | baseline                  | Baseline flagging (area ratio)
169        | 0.8279     | 0.0150     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1690       | 0.2279     | 0.0468     | 10.20      | baseline                  | Baseline flagging (area ratio)
1691       | 0.8701     | 0.1180     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1692       | 0.8236     | 0.0292     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0292 < 0.035)
1693       | 0.5542     | 0.0498     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1694       | 0.2278     | 0.0374     | 10.20      | baseline                  | Baseline flagging (area ratio)
1695       | 0.5389     | 0.0242     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0242 < 0.035)
1696       | 0.7645     | 0.0961     | 10.05      | baseline                  | Baseline flagging (overlap violation)
1697       | 0.7632     | 0.0134     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1698       | 0.2171     | 0.0154     | 10.20      | baseline                  | Baseline flagging (area ratio)
1699       | 0.8478     | 0.0133     | 10.20      | baseline                  | Baseline flagging (overlap violation)
170        | 0.2386     | 0.0344     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1700       | 0.2225     | 0.0330     | 10.20      | baseline                  | Baseline flagging (area ratio)
1701       | 0.1530     | 0.0097     | 11.05      | baseline                  | Baseline flagging (area ratio)
1702       | 0.8436     | 0.0427     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1702/1     | 0.7695     | 0.0104     | 11.18      | evidence_threshold        | Insufficient evidence improvement (0.0104 < 0.035)
1702/10    | 0.3480     | 0.0456     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1702/11    | 0.2153     | 0.0037     | 10.20      | baseline                  | Baseline flagging (area ratio)
1702/12    | 0.2116     | 0.0224     | 10.20      | baseline                  | Baseline flagging (area ratio)
1702/13    | 0.7896     | 0.0346     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0346 < 0.035)
1702/15    | 0.7211     | 0.0098     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1702/16    | 0.2078     | 0.1406     | 10.20      | baseline                  | Baseline flagging (area ratio)
1702/17    | 0.8546     | 0.0570     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1702/18    | 0.6478     | 0.0300     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0300 < 0.035)
1702/19    | 0.3423     | 0.1107     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1702/2     | 0.2104     | 0.0209     | 11.18      | baseline                  | Baseline flagging (area ratio)
1702/20    | 0.6642     | 0.0308     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1702/21    | 0.8291     | 0.0245     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0245 < 0.035)
1702/22    | 0.2027     | 0.0619     | 11.18      | baseline                  | Baseline flagging (area ratio)
1702/24    | 0.2249     | 0.0911     | 10.20      | baseline                  | Baseline flagging (area ratio)
1702/27    | 0.2199     | 0.0505     | 10.20      | baseline                  | Baseline flagging (area ratio)
1702/28    | 0.4032     | 0.0458     | 10.20      | confidence_threshold      | Low confidence (0.4032 < 0.50)
1702/29    | 0.1710     | 0.0395     | 10.20      | baseline                  | Baseline flagging (area ratio)
1702/3     | 0.7735     | 0.0330     | 11.18      | baseline                  | Baseline flagging (overlap violation)
1702/33    | 0.2383     | 0.1317     | 10.20      | baseline                  | Baseline flagging (area ratio)
1702/34    | 0.7579     | 0.0263     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1702/35    | 0.5806     | 0.0131     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0131 < 0.035)
1702/36    | 0.4541     | 0.0438     | 10.20      | confidence_threshold      | Low confidence (0.4541 < 0.50)
1702/4     | 0.2243     | 0.0392     | 10.20      | baseline                  | Baseline flagging (area ratio)
1702/5     | 0.2158     | 0.0601     | 10.20      | baseline                  | Baseline flagging (area ratio)
1702/6     | 0.2348     | 0.0519     | 10.20      | baseline                  | Baseline flagging (area ratio)
1702/9     | 0.3448     | 0.0687     | 11.18      | baseline                  | Baseline flagging (low legacy conf)
1703       | 0.4960     | 0.0357     | 10.20      | confidence_threshold      | Low confidence (0.4960 < 0.50)
1705       | 0.8250     | 0.0313     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0313 < 0.035)
1706       | 0.8495     | 0.0289     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1707       | 0.2660     | 0.0350     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1709       | 0.6894     | 0.0115     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0115 < 0.035)
171        | 0.4490     | 0.0229     | 10.20      | confidence_threshold      | Low confidence (0.4490 < 0.50)
1710       | 0.8448     | 0.0269     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0269 < 0.035)
1711       | 0.7639     | 0.0302     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0302 < 0.035)
1712       | 0.7549     | 0.0079     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0079 < 0.035)
1713       | 0.7303     | 0.0212     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0212 < 0.035)
1714       | 0.3893     | 0.0112     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1715       | 0.8161     | 0.0189     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0189 < 0.035)
1716       | 0.6946     | 0.0280     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0280 < 0.035)
1717       | 0.7944     | 0.0253     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0253 < 0.035)
1718       | 0.4968     | 0.0147     | 10.20      | confidence_threshold      | Low confidence (0.4968 < 0.50)
1719       | 0.6693     | 0.0129     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0129 < 0.035)
172        | 0.4260     | 0.0083     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1720       | 0.5407     | 0.0046     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0046 < 0.035)
1721       | 0.3811     | 0.0080     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1722       | 0.1474     | 0.0906     | 10.20      | baseline                  | Baseline flagging (area ratio)
1723       | 0.6375     | 0.0118     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1725       | 0.7925     | 0.0328     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1726       | 0.1619     | 0.0824     | 10.20      | baseline                  | Baseline flagging (area ratio)
1727       | 0.2859     | 0.0405     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1728       | 0.7454     | 0.0050     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0050 < 0.035)
1729       | 0.6455     | 0.0095     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0095 < 0.035)
173        | 0.2078     | 0.0335     | 10.20      | baseline                  | Baseline flagging (area ratio)
1730       | 0.8291     | 0.0216     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0216 < 0.035)
1732       | 0.8006     | 0.0167     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1733       | 0.5328     | 0.0094     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1734       | 0.1767     | 0.0282     | 10.20      | baseline                  | Baseline flagging (area ratio)
1735       | 0.1436     | 0.0135     | 10.20      | baseline                  | Baseline flagging (area ratio)
1736       | 0.1397     | 0.0066     | 10.20      | baseline                  | Baseline flagging (area ratio)
1737       | 0.1574     | 0.0176     | 10.20      | baseline                  | Baseline flagging (area ratio)
1738       | 0.7338     | 0.0048     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0048 < 0.035)
1739/B     | 0.1498     | 0.0079     | 10.20      | baseline                  | Baseline flagging (area ratio)
174        | 0.8072     | 0.0006     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0006 < 0.035)
1740       | 0.1533     | 0.0176     | 10.20      | baseline                  | Baseline flagging (area ratio)
1741       | 0.2804     | 0.0153     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1742       | 0.4567     | 0.0253     | 10.20      | confidence_threshold      | Low confidence (0.4567 < 0.50)
1744       | 0.7790     | 0.0291     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0291 < 0.035)
1747       | 0.8167     | 0.0050     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0050 < 0.035)
1748       | 0.7439     | 0.0302     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0302 < 0.035)
175        | 0.4969     | 0.0134     | 10.20      | confidence_threshold      | Low confidence (0.4969 < 0.50)
1750       | 0.7989     | 0.0026     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1751       | 0.7568     | 0.0165     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1752       | 0.4809     | 0.0338     | 10.20      | confidence_threshold      | Low confidence (0.4809 < 0.50)
1753       | 0.1928     | 0.0164     | 10.20      | baseline                  | Baseline flagging (area ratio)
1754       | 0.7945     | 0.0050     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1756       | 0.2204     | 0.0023     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1757       | 0.1893     | 0.0135     | 10.20      | baseline                  | Baseline flagging (area ratio)
1758       | 0.2026     | 0.0101     | 10.20      | baseline                  | Baseline flagging (area ratio)
1759/A     | 0.1584     | 0.0232     | 10.20      | baseline                  | Baseline flagging (area ratio)
1759/B     | 0.4773     | 0.0275     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
176        | 0.8156     | 0.0182     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1760       | 0.5256     | 0.0000     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0000 < 0.035)
1761       | 0.2358     | 0.0002     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1762       | 0.8017     | 0.0196     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0196 < 0.035)
1763       | 0.8359     | 0.0235     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0235 < 0.035)
1764       | 0.5648     | 0.0148     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0148 < 0.035)
1765       | 0.7870     | 0.0042     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0042 < 0.035)
1766       | 0.1663     | 0.0155     | 10.20      | baseline                  | Baseline flagging (area ratio)
1767       | 0.8216     | 0.0066     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0066 < 0.035)
1768       | 0.4388     | 0.0097     | 10.20      | confidence_threshold      | Low confidence (0.4388 < 0.50)
1769       | 0.7169     | 0.0081     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0081 < 0.035)
177        | 0.2104     | 0.0522     | 10.20      | baseline                  | Baseline flagging (area ratio)
1770       | 0.4389     | 0.0408     | 10.20      | confidence_threshold      | Low confidence (0.4389 < 0.50)
1771       | 0.8084     | 0.0565     | 10.20      | baseline                  | Baseline flagging (overlap violation)
1772       | 0.8428     | 0.0060     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0060 < 0.035)
1773       | 0.5222     | 0.0348     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0348 < 0.035)
1774       | 0.6602     | 0.0111     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0111 < 0.035)
1775       | 0.6611     | 0.0269     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0269 < 0.035)
1776       | 0.3884     | 0.0019     | 10.20      | baseline                  | Baseline flagging (low legacy conf)
1778       | 0.8436     | 0.0047     | 10.20      | evidence_threshold        | Insufficient evidence improvement (0.0047 < 0.035)
